kind_code,kind_desc,model,color_desc,D_COLOR,meter_reading,eval_date,initial_price,سعر الشراء,suggested_price,car_age
3606,تويوتا كريسيدا,1992,كحلي /  ا ز ر ق,802,10118,20020729,0,1210,0,10
523,جيب سبورت,1997,ابيض /  ا ز ر ق,2002,64547,20020729,2600,2650,2995,5
521,جيب كلاسيك,1996,ابيض /  ا ز ر ق,2002,186891,20020729,1800,2400,1995,6
4600,ســـوبـــارو,1997,تركواز,2900,113318,20020729,900,1030,1195,5
129,شفر لومينا,1996,اخضر / بيـــــج,504,181212,20020729,1000,1000,1295,6
3511,نيسان وانيت قمارتين2000,1997,ابيض /  ا ز ر ق,2002,184339,20020729,2000,2050,2295,5
3002,هيونداى سوناتا,1999,ابيض /  ا ز ر ق,2002,26687,20020729,2000,2000,2295,3
602,GMC سوبربان 25,1993,عنابي / احمـــر,203,134278,20020730,3000,3210,3295,9
1108,اودى 80,1997,رصاصى / بنــــي,1305,134125,20020730,5000,5000,5295,5
1602,ديسكفرى لاندروفر,1998,ازرق /  ا ز ر ق,702,70196,20020730,3200,3200,3395,4
4151,سانغ يونغ موسو,1997,فضي,2700,117787,20020730,1000,1250,1295,5
102,شفر كابرس بروجهــام,1995,ابيض /  ا ز ر ق,2002,198250,20020730,1450,1450,1795,7
102,شفر كابرس بروجهــام,1994,ازرق /  ا ز ر ق,702,154359,20020730,850,850,1095,8
118,شفر وانيت,1995,كحلي /  ا ز ر ق,802,95673,20020730,2700,2800,2995,7
3311,ميتسوبيشي بوكـس,1997,بيج / بيــــــج,1504,167997,20020730,2700,2700,2995,5
3013,هيونداى جيب,2000,ابيض /  ا ز ر ق,2002,56597,20020730,2300,2430,2595,2
3618,تويوتا COROLLA,2002,فضي,2700,8250,20020731,3000,3000,3295,0
523,جيب سبورت,1996,عنابي / احمـــر,203,66080,20020731,2350,2720,2595,6
102,شفر كابرس بروجهــام,1993,ابيض /  ا ز ر ق,2002,171537,20020731,600,600,895,9
129,شفر لومينا,1999,ابيض /  ا ز ر ق,2002,187562,20020731,2500,2500,2795,3
129,شفر لومينا,1997,اسود / بنـــــي,405,115164,20020731,1100,1130,1395,5
4107,نيسان مكسيما,1995,ابيض /  ا ز ر ق,2002,252435,20020731,1500,1600,1795,7
1309,BMW 520 I,1992,عنابي / احمـــر,203,198456,20020801,800,1180,1095,10
511,رود ماستر,1992,ابيض /  ا ز ر ق,2002,133612,20020801,400,655,695,10
3304,ميتسوبيشي  لانسـر,1999,فضي,2700,185575,20020801,1500,1680,1795,3
4107,نيسان مكسيما,1999,ابيض /  ا ز ر ق,2002,56243,20020801,2450,2450,2795,3
3600,تويوتا,1993,ابيض /  ا ز ر ق,2002,199421,20020803,1000,1240,1295,9
122,شفر استرو فان,1997,وردي / بيـــــج,1904,131630,20020803,2500,2500,2795,5
3805,فورد جراند ماركيـــز,1997,اخضر / بيـــــج,504,118162,20020803,2400,2520,2695,5
1601,لاندروفر,1995,ابيض /  ا ز ر ق,2002,169061,20020803,1200,1200,1395,7
3002,هيونداى سوناتا,2001,كحلي /  ا ز ر ق,802,32715,20020803,1500,1570,1795,1
602,GMC سوبربان 25,1996,رصاصى / رمــادي,1301,72991,20020804,5200,5250,5695,6
3514,باترول -جلد,1998,عنابي / احمـــر,203,26020,20020804,5000,5145,5495,4
523,جيب سبورت,1995,ابيض /  ا ز ر ق,2002,135426,20020804,1600,1600,1895,7
905,دودج انتربيد,1997,اسود / بنـــــي,405,120902,20020804,650,760,895,5
3412,مازدا بوكس  mbv,1993,ابيض /  ا ز ر ق,2002,102829,20020804,1000,1020,1295,9
3321,ميتسوبيشى  باجيرو,1995,ازرق /  ا ز ر ق,702,183526,20020804,1800,1800,2195,7
2008,فولكس باسات,2002,كحلي /  ا ز ر ق,802,7220,20020805,5500,5500,6195,0
4107,نيسان مكسيما,1998,اخضر / بيـــــج,504,178145,20020805,2000,2000,2395,4
3701,هوندا Accord EX,1997,ابيض /  ا ز ر ق,2002,143778,20020805,1800,1870,2195,5
